Date,Country,Activity,Sex ,Age,Fatal (Y/N),Hemisphere
25-Jun-2018,USA,Paddling,F,57,N,northern
18-Jun-2018,USA,Standing,F,11,N,northern
09-Jun-2018,USA,Surfing,M,48,N,northern
27-May-2018,USA,Fishing,M,52,N,northern
26-May-2018,USA,Walking,M,15,N,northern
26-May-2018,USA,Standing,M,12,N,northern
21-May-2018,USA,Boogie boarding,M,10,N,northern
13-May-2018,USA,Swimming,M,10,N,northern
19-Apr-2018,USA,Body boarding,M,29,N,northern
31-Mar-2018,USA,Stand-Up Paddleboarding,M,25,N,northern
31-Dec-2017,USA,Surfing,F,54,N,northern
30-Dec-2017,USA,Surfing,F,35,N,northern
24-Nov-2017,USA,Spearfishing,M,25,N,northern
18-Nov-2017,USA,Surfing,F,14,N,northern
26-Oct-2017,USA,Stand-Up Paddleboarding,M,,N,northern
23-Oct-2017,USA,Surfing ,M,17,N,northern
23-Oct-2017,USA,Swimming,F,60,N,northern
18-Oct-2017,USA,Swimming,M,,N,northern
09-Oct-2017,USA,Surfing,M,54,N,northern
05-Oct-2017,USA,Snorkeling,F,40,N,northern
25-Sep-2017,USA,Surfing,M,,N,northern
24-Sep-2017,USA,Surfing,M,33,,northern
24-Sep-2017,USA,Surfing,M,,N,northern
20-Sep-2017,USA,Surfing,M,,N,northern
16-Sep-2017,USA,Surfing,M,28,N,northern
13-Sep-2017,USA,Surfing,M,18,N,northern
02-Sep-2017,USA,Swimming,M,,N,northern
02-Sep-2017,USA,Swimming,F,,N,northern
02-Sep-2017,USA,Surfing,M,17,N,northern
27-Aug-2017,USA,Wading,F,3,N,northern
23-Aug-2017,USA,SUP,M,69,N,northern
10-Aug-2017,USA,Swimming,M,13,N,northern
03-Aug-2017,USA,Fishing,M,34,N,northern
01-Aug-2017,USA,Kayaking / Fishing,M,,N,northern
31-Jul-2017,USA,Skimboarding,M,15,N,northern
29-Jul-2017,USA,Swimming,M,10,,northern
29-Jul-2017,USA,,F,12,N,northern
23-Jul-2017,USA,,F,,N,northern
22-Jul-2017,USA,,F,40,N,northern
20-Jul-2017,USA,Swimming,F,8,,northern
20-Jul-2017,USA,Kayaking,M,40,N,northern
20-Jul-2017,USA,SUP,M,50,N,northern
14-Jul-2017,USA,Surfing,M,,N,northern
11-Jul-2017,USA,Kayaking,M,,N,northern
09-Jul-2017,USA,Swimming,M,46,N,northern
29-Jun-2017,USA,Fishing,M,,,northern
21-Jun-2017,USA,Swimming,F,16,N,northern
19-Jun-2017,USA,Surfing,M,,N,northern
18-Jun-2017,USA,Swimming,F,14,N,northern
10-Jun-2017,USA,Surfing,M,19,N,northern
04-Jun-2017,USA,Spearfishing,M,,N,northern
30-May-2017,USA,Touching a shark,F,20,N,northern
28-May-2017,USA,Feeding sharks,M,,N,northern
03-May-2017,USA,Surfing,F,18,,northern
29-Apr-2017,USA,Swimming,F,,N,northern
29-Apr-2017,USA,Surfing,F,33,N,northern
26-Apr-2017,USA,Photo shoot,F,,,northern
20-Apr-2017,USA,Swimming,M,,,northern
17-Apr-2017,USA,,,,N,northern
14-Apr-2017,USA,Surfing,M,28,N,northern
13-Apr-2017,USA,Surfing,M,17,N,northern
12-Apr-2017,USA,Surfing,F,,N,northern
11-Apr-2017,USA,Surfing,F,35,N,northern
10-Apr-2017,USA,Paddle boarding,F,10,N,northern
10-Apr-2017,USA,Swimming,F,21,N,northern
06-Apr-2017,USA,Swimming,M,16,N,northern
05-Apr-2017,USA,Swimming,F,51,N,northern
02-Apr-2017,USA,Swimming,F,17,N,northern
27-Mar-2017,USA,Surfing,M,58,N,northern
18-Mar-2017,USA,Kayaking,M,,N,northern
11-Feb-2017,USA,Swimming,M,22,N,northern
01-Feb-2017,USA,Tagging sharks,,,N,northern
22-Jan-2017,USA,,M,Teen,N,northern
13-Jan-2017,USA,,M,,N,northern
05-Jan-2017,USA,Wading,M,47,N,northern
27-Dec-2016,USA,Surfing,M,16,N,northern
11-Dec-2016,USA,Surfing,M,19,,northern
14-Nov-2016,USA,Floating,F,58,N,northern
30-Oct-2016,USA,Surfing,M,41,N,northern
29-Oct-2016,USA,Surfing,M,42,N,northern
21-Oct-2016,USA,Surfing,M,36,N,northern
14-Oct-2016,USA,Snorkeling,F,66,N,northern
10-Oct-2016,USA,Surfing,M,29,N,northern
02-Oct-2016,USA,Surfing,M,21,N,northern
01-Oct-2016,USA,Surfng,M,32,N,northern
18-Sep-2016,USA,Surfing,M,16,N,northern
18-Sep-2016,USA,Surfing,M,36,N,northern
18-Sep-2016,USA,Surfing,M,43,N,northern
17-Sep-2016,USA,Surfing,M,43,N,northern
11-Sep-2016,USA,Wading,M,60s,N,northern
